date,year,month,month_name,day,weekday,quarter
2025-01-01,2025,1,January,1,Wednesday,1
2025-01-02,2025,1,January,2,Thursday,1
2025-01-03,2025,1,January,3,Friday,1
2025-01-04,2025,1,January,4,Saturday,1
2025-01-05,2025,1,January,5,Sunday,1
2025-01-06,2025,1,January,6,Monday,1
2025-01-07,2025,1,January,7,Tuesday,1
2025-01-08,2025,1,January,8,Wednesday,1
2025-01-09,2025,1,January,9,Thursday,1
2025-01-10,2025,1,January,10,Friday,1
2025-01-11,2025,1,January,11,Saturday,1
2025-01-12,2025,1,January,12,Sunday,1
2025-01-13,2025,1,January,13,Monday,1
2025-01-14,2025,1,January,14,Tuesday,1
2025-01-15,2025,1,January,15,Wednesday,1
2025-01-16,2025,1,January,16,Thursday,1
2025-01-17,2025,1,January,17,Friday,1
2025-01-18,2025,1,January,18,Saturday,1
2025-01-19,2025,1,January,19,Sunday,1
2025-01-20,2025,1,January,20,Monday,1
2025-01-21,2025,1,January,21,Tuesday,1
2025-01-22,2025,1,January,22,Wednesday,1
2025-01-23,2025,1,January,23,Thursday,1
2025-01-24,2025,1,January,24,Friday,1
2025-01-25,2025,1,January,25,Saturday,1
2025-01-26,2025,1,January,26,Sunday,1
2025-01-27,2025,1,January,27,Monday,1
2025-01-28,2025,1,January,28,Tuesday,1
2025-01-29,2025,1,January,29,Wednesday,1
2025-01-30,2025,1,January,30,Thursday,1
2025-01-31,2025,1,January,31,Friday,1
2025-02-01,2025,2,February,1,Saturday,1
2025-02-02,2025,2,February,2,Sunday,1
2025-02-03,2025,2,February,3,Monday,1
2025-02-04,2025,2,February,4,Tuesday,1
2025-02-05,2025,2,February,5,Wednesday,1
2025-02-06,2025,2,February,6,Thursday,1
2025-02-07,2025,2,February,7,Friday,1
2025-02-08,2025,2,February,8,Saturday,1
2025-02-09,2025,2,February,9,Sunday,1
2025-02-10,2025,2,February,10,Monday,1
2025-02-11,2025,2,February,11,Tuesday,1
2025-02-12,2025,2,February,12,Wednesday,1
2025-02-13,2025,2,February,13,Thursday,1
2025-02-14,2025,2,February,14,Friday,1
2025-02-15,2025,2,February,15,Saturday,1
2025-02-16,2025,2,February,16,Sunday,1
2025-02-17,2025,2,February,17,Monday,1
2025-02-18,2025,2,February,18,Tuesday,1
2025-02-19,2025,2,February,19,Wednesday,1
2025-02-20,2025,2,February,20,Thursday,1
2025-02-21,2025,2,February,21,Friday,1
2025-02-22,2025,2,February,22,Saturday,1
2025-02-23,2025,2,February,23,Sunday,1
2025-02-24,2025,2,February,24,Monday,1
2025-02-25,2025,2,February,25,Tuesday,1
2025-02-26,2025,2,February,26,Wednesday,1
2025-02-27,2025,2,February,27,Thursday,1
2025-02-28,2025,2,February,28,Friday,1
2025-03-01,2025,3,March,1,Saturday,1
2025-03-02,2025,3,March,2,Sunday,1
2025-03-03,2025,3,March,3,Monday,1
2025-03-04,2025,3,March,4,Tuesday,1
2025-03-05,2025,3,March,5,Wednesday,1
2025-03-06,2025,3,March,6,Thursday,1
2025-03-07,2025,3,March,7,Friday,1
2025-03-08,2025,3,March,8,Saturday,1
2025-03-09,2025,3,March,9,Sunday,1
2025-03-10,2025,3,March,10,Monday,1
2025-03-11,2025,3,March,11,Tuesday,1
2025-03-12,2025,3,March,12,Wednesday,1
2025-03-13,2025,3,March,13,Thursday,1
2025-03-14,2025,3,March,14,Friday,1
2025-03-15,2025,3,March,15,Saturday,1
2025-03-16,2025,3,March,16,Sunday,1
2025-03-17,2025,3,March,17,Monday,1
2025-03-18,2025,3,March,18,Tuesday,1
2025-03-19,2025,3,March,19,Wednesday,1
2025-03-20,2025,3,March,20,Thursday,1
2025-03-21,2025,3,March,21,Friday,1
2025-03-22,2025,3,March,22,Saturday,1
2025-03-23,2025,3,March,23,Sunday,1
2025-03-24,2025,3,March,24,Monday,1
2025-03-25,2025,3,March,25,Tuesday,1
2025-03-26,2025,3,March,26,Wednesday,1
2025-03-27,2025,3,March,27,Thursday,1
2025-03-28,2025,3,March,28,Friday,1
2025-03-29,2025,3,March,29,Saturday,1
2025-03-30,2025,3,March,30,Sunday,1
2025-03-31,2025,3,March,31,Monday,1
2025-04-01,2025,4,April,1,Tuesday,2
2025-04-02,2025,4,April,2,Wednesday,2
2025-04-03,2025,4,April,3,Thursday,2
2025-04-04,2025,4,April,4,Friday,2
2025-04-05,2025,4,April,5,Saturday,2
2025-04-06,2025,4,April,6,Sunday,2
2025-04-07,2025,4,April,7,Monday,2
2025-04-08,2025,4,April,8,Tuesday,2
2025-04-09,2025,4,April,9,Wednesday,2
2025-04-10,2025,4,April,10,Thursday,2
2025-04-11,2025,4,April,11,Friday,2
2025-04-12,2025,4,April,12,Saturday,2
2025-04-13,2025,4,April,13,Sunday,2
2025-04-14,2025,4,April,14,Monday,2
2025-04-15,2025,4,April,15,Tuesday,2
2025-04-16,2025,4,April,16,Wednesday,2
2025-04-17,2025,4,April,17,Thursday,2
2025-04-18,2025,4,April,18,Friday,2
2025-04-19,2025,4,April,19,Saturday,2
2025-04-20,2025,4,April,20,Sunday,2
2025-04-21,2025,4,April,21,Monday,2
2025-04-22,2025,4,April,22,Tuesday,2
2025-04-23,2025,4,April,23,Wednesday,2
2025-04-24,2025,4,April,24,Thursday,2
2025-04-25,2025,4,April,25,Friday,2
2025-04-26,2025,4,April,26,Saturday,2
2025-04-27,2025,4,April,27,Sunday,2
2025-04-28,2025,4,April,28,Monday,2
2025-04-29,2025,4,April,29,Tuesday,2
2025-04-30,2025,4,April,30,Wednesday,2
2025-05-01,2025,5,May,1,Thursday,2
2025-05-02,2025,5,May,2,Friday,2
2025-05-03,2025,5,May,3,Saturday,2
2025-05-04,2025,5,May,4,Sunday,2
2025-05-05,2025,5,May,5,Monday,2
2025-05-06,2025,5,May,6,Tuesday,2
2025-05-07,2025,5,May,7,Wednesday,2
2025-05-08,2025,5,May,8,Thursday,2
2025-05-09,2025,5,May,9,Friday,2
2025-05-10,2025,5,May,10,Saturday,2
2025-05-11,2025,5,May,11,Sunday,2
2025-05-12,2025,5,May,12,Monday,2
2025-05-13,2025,5,May,13,Tuesday,2
2025-05-14,2025,5,May,14,Wednesday,2
2025-05-15,2025,5,May,15,Thursday,2
2025-05-16,2025,5,May,16,Friday,2
2025-05-17,2025,5,May,17,Saturday,2
2025-05-18,2025,5,May,18,Sunday,2
2025-05-19,2025,5,May,19,Monday,2
2025-05-20,2025,5,May,20,Tuesday,2
2025-05-21,2025,5,May,21,Wednesday,2
2025-05-22,2025,5,May,22,Thursday,2
2025-05-23,2025,5,May,23,Friday,2
2025-05-24,2025,5,May,24,Saturday,2
2025-05-25,2025,5,May,25,Sunday,2
2025-05-26,2025,5,May,26,Monday,2
2025-05-27,2025,5,May,27,Tuesday,2
2025-05-28,2025,5,May,28,Wednesday,2
2025-05-29,2025,5,May,29,Thursday,2
2025-05-30,2025,5,May,30,Friday,2
2025-05-31,2025,5,May,31,Saturday,2
2025-06-01,2025,6,June,1,Sunday,2
2025-06-02,2025,6,June,2,Monday,2
2025-06-03,2025,6,June,3,Tuesday,2
2025-06-04,2025,6,June,4,Wednesday,2
2025-06-05,2025,6,June,5,Thursday,2
2025-06-06,2025,6,June,6,Friday,2
2025-06-07,2025,6,June,7,Saturday,2
2025-06-08,2025,6,June,8,Sunday,2
2025-06-09,2025,6,June,9,Monday,2
2025-06-10,2025,6,June,10,Tuesday,2
2025-06-11,2025,6,June,11,Wednesday,2
2025-06-12,2025,6,June,12,Thursday,2
2025-06-13,2025,6,June,13,Friday,2
2025-06-14,2025,6,June,14,Saturday,2
2025-06-15,2025,6,June,15,Sunday,2
2025-06-16,2025,6,June,16,Monday,2
2025-06-17,2025,6,June,17,Tuesday,2
2025-06-18,2025,6,June,18,Wednesday,2
2025-06-19,2025,6,June,19,Thursday,2
2025-06-20,2025,6,June,20,Friday,2
2025-06-21,2025,6,June,21,Saturday,2
2025-06-22,2025,6,June,22,Sunday,2
2025-06-23,2025,6,June,23,Monday,2
2025-06-24,2025,6,June,24,Tuesday,2
2025-06-25,2025,6,June,25,Wednesday,2
2025-06-26,2025,6,June,26,Thursday,2
2025-06-27,2025,6,June,27,Friday,2
2025-06-28,2025,6,June,28,Saturday,2
2025-06-29,2025,6,June,29,Sunday,2
2025-06-30,2025,6,June,30,Monday,2
